id,title,genres,original_language,release_date,length,rating,rating_count,plot
618,The Birth of a Nation,"Drama, History, War",en,1915,195,6.1,26000,"The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's a... Read allThe Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan."
3059,Intolerance: Love's Struggle Throughout the Ages,"Drama, History",en,1916,163,7.7,17000,The story of a poor young woman separated by prejudice from her husband and baby is interwoven with tales of intolerance from throughout history.The story of a poor young woman separated by prejudice from her husband and baby is interwoven with tales of intolerance from throughout history.The story of a poor young woman separated by prejudice from her husband and baby is interwoven with tales of intolerance from throughout history.
10098,The Kid,"Comedy, Drama",en,1921,68,8.2,135000,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.The Tramp cares for an abandoned child, but events put their relationship in jeopardy.The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
22596,Safety Last!,"Comedy, Romance",en,1923,74,8.1,23000,A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some i... Read allA boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.
992,Sherlock Jr.,"Action, Comedy, Mystery",en,1924,45,8.2,57000,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
962,The Gold Rush,"Adventure, Comedy, Drama",en,1925,95,8.1,119000,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
964,The Phantom of the Opera,"Drama, Horror",en,1925,93,7.5,20000,"A mad, disfigured composer seeks love with a lovely young opera singer.A mad, disfigured composer seeks love with a lovely young opera singer.A mad, disfigured composer seeks love with a lovely young opera singer."
19,Metropolis,"Drama, Science Fiction",de,1927,153,8.3,186000,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a... Read allIn a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
961,The General,"Comedy, Action, Adventure, War",en,1926,78,8.1,98000,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ... Read allAfter being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
631,Sunrise: A Song of Two Humans,"Drama, Romance",en,1927,94,8.1,54000,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the... Read allA sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment.A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment."
31411,The Cameraman,"Comedy, Romance, Drama",en,1928,76,8.0,13000,"Hopelessly in love with a woman working at MGM Studios, a clumsy man attempts to become a motion-picture cameraman to be close to the object of his desire.Hopelessly in love with a woman working at MGM Studios, a clumsy man attempts to become a motion-picture cameraman to be close to the object of his desire.Hopelessly in love with a woman working at MGM Studios, a clumsy man attempts to become a motion-picture cameraman to be close to the object of his desire."
28978,The Circus,"Comedy, Romance",en,1928,72,8.1,36000,The Tramp finds work and the girl of his dreams at a circus.The Tramp finds work and the girl of his dreams at a circus.The Tramp finds work and the girl of his dreams at a circus.
